,LOCATION,SUBJECT,MEASURE,2018,2019,2020,2021,2022
304,LVA,T_GDPPOP,C,15134.876574,16035.353034,15936.995459,17837.146637,
305,LVA,T_GDPPOP,CPC,30891.884231,32938.73681,33011.406924,35045.921616,
306,LVA,T_GDPPOP,PCTUS,49.466895,50.917604,52.002141,49.936394,
307,LVA,T_GDPPOP,VPVOB,28196.52122,29118.542454,28661.707866,30109.264248,
308,LVA,T_POPTOT,PEHRS,1926.25,1913.188,1900.863,1883.013,
309,MEX,T_GDP,C,23524390.183,24445735.084,23430377.458,25803508.117,28463840.6
310,MEX,T_GDP,CPC,2535949.668,2529761.704,2333740.769,2480684.356,2691313.3
311,MEX,T_GDP,PCTUS,12.35057,11.831835,11.081141,10.639827,10.569621
312,MEX,T_GDP,VPVOB,2388523.123,2383768.821,2193355.457,2296894.234,2367233.9
313,MEX,T_GDPPOP,C,190733.59411,195628.34245,185391.37111,202197.74082,
